Local Currency,$PPP,US$,Country_Hide,Product or Service,Area,Country,Consumption Segment,Level,"Sector, Category or Product"
4.417925580e-09,1.575214583e-11,8.920110524e-12,Niger,"Coffee, Tea and Cocoa",National,Niger,Lowest,National,"Coffee, Tea and Cocoa"
1.397651662e-09,4.747506468e-12,2.821959553e-12,Togo,"Coffee, Tea and Cocoa",National,Togo,Lowest,National,"Coffee, Tea and Cocoa"
2.698780265e-08,8.820977942e-11,5.449031846e-11,Senegal,"Coffee, Tea and Cocoa",National,Senegal,Lowest,National,"Coffee, Tea and Cocoa"
2.087119481e-08,6.091842764e-11,4.214044643e-11,Chad,"Coffee, Tea and Cocoa",National,Chad,Lowest,National,"Coffee, Tea and Cocoa"
5.865134012e-10,1.786703884e-12,1.005800574e-12,Rwanda,"Coffee, Tea and Cocoa",National,Rwanda,Lowest,National,"Coffee, Tea and Cocoa"
6.052716702e-09,8.350728673e-12,6.681344347e-12,"Congo, Dem. Rep.","Coffee, Tea and Cocoa",National,"Congo, Dem. Rep.",Lowest,National,"Coffee, Tea and Cocoa"
0,0,0,Burundi,"Coffee, Tea and Cocoa",National,Burundi,Lowest,National,"Coffee, Tea and Cocoa"
7.951648071e-09,1.220714388e-11,5.642379946e-12,Tanzania,"Coffee, Tea and Cocoa",National,Tanzania,Lowest,National,"Coffee, Tea and Cocoa"
1.601015312e-08,1.487819062e-11,7.660543612e-12,Madagascar,"Coffee, Tea and Cocoa",National,Madagascar,Lowest,National,"Coffee, Tea and Cocoa"
2.111942988e-09,2.111645246e-12,9.698676167e-13,Uganda,"Coffee, Tea and Cocoa",National,Uganda,Lowest,National,"Coffee, Tea and Cocoa"
2.957002433e-09,1.320348603e-12,7.433226174e-13,Sierra Leone,"Coffee, Tea and Cocoa",National,Sierra Leone,Lowest,National,"Coffee, Tea and Cocoa"
4.200072850e-09,9.927612064e-13,8.755373988e-13,Zambia,"Coffee, Tea and Cocoa",National,Zambia,Lowest,National,"Coffee, Tea and Cocoa"
1.142821918e-10,3.642552013e-14,1.995822123e-14,Guinea,"Coffee, Tea and Cocoa",National,Guinea,Lowest,National,"Coffee, Tea and Cocoa"
2.478462379e-09,1.673150489e-13,1.339810689e-13,Sao Tome and Principe,"Coffee, Tea and Cocoa",National,Sao Tome and Principe,Lowest,National,"Coffee, Tea and Cocoa"
7.79e-07,1.863636364e-06,1.469811321e-06,Latvia,"Coffee, Tea and Cocoa",National,Latvia,Higher,National,"Coffee, Tea and Cocoa"
9.4e-07,1.942148760e-06,1.245033113e-06,Montenegro,"Coffee, Tea and Cocoa",National,Montenegro,Higher,National,"Coffee, Tea and Cocoa"
9.51e-07,1.839458414e-06,1.184308842e-06,Azerbaijan,"Coffee, Tea and Cocoa",National,Azerbaijan,Higher,National,"Coffee, Tea and Cocoa"
9.48e-07,1.168927250e-06,6.418415708e-07,Bulgaria,"Coffee, Tea and Cocoa",National,Bulgaria,Higher,National,"Coffee, Tea and Cocoa"
9.46e-07,1.049944506e-06,6.404874746e-07,Bosnia and Herzegovina,"Coffee, Tea and Cocoa",National,Bosnia and Herzegovina,Higher,National,"Coffee, Tea and Cocoa"
8.07e-07,6.944922547e-07,5.369261477e-07,Turkey,"Coffee, Tea and Cocoa",National,Turkey,Higher,National,"Coffee, Tea and Cocoa"
1e-06,5.452562704e-07,3.837298542e-07,Lithuania,"Coffee, Tea and Cocoa",National,Lithuania,Higher,National,"Coffee, Tea and Cocoa"
9.45e-07,4.675903018e-07,2.973568282e-07,Romania,"Coffee, Tea and Cocoa",National,Romania,Higher,National,"Coffee, Tea and Cocoa"
1e-06,7.092198582e-07,2.283626399e-07,Tajikistan,"Coffee, Tea and Cocoa",National,Tajikistan,Higher,National,"Coffee, Tea and Cocoa"
9.91e-07,3.314381271e-07,1.248739919e-07,Ukraine,"Coffee, Tea and Cocoa",National,Ukraine,Higher,National,"Coffee, Tea and Cocoa"
5.66e-07,8.534378770e-08,4.575956019e-08,Moldova,"Coffee, Tea and Cocoa",National,Moldova,Higher,National,"Coffee, Tea and Cocoa"
9.2e-07,5.284015852e-08,3.029504742e-08,Russian Federation,"Coffee, Tea and Cocoa",National,Russian Federation,Higher,National,"Coffee, Tea and Cocoa"
1e-06,5.139274334e-08,2.175615699e-08,Kyrgyz Republic,"Coffee, Tea and Cocoa",National,Kyrgyz Republic,Higher,National,"Coffee, Tea and Cocoa"
9.17e-07,4.108422939e-08,1.972679359e-08,"Macedonia, FYR","Coffee, Tea and Cocoa",National,"Macedonia, FYR",Higher,National,"Coffee, Tea and Cocoa"
9.159076436e-07,2.045638060e-08,1.178335542e-08,Serbia,"Coffee, Tea and Cocoa",National,Serbia,Higher,National,"Coffee, Tea and Cocoa"
3.25e-07,5.617880417e-09,3.126924261e-09,Albania,"Coffee, Tea and Cocoa",National,Albania,Higher,National,"Coffee, Tea and Cocoa"
9.75e-07,1.034603508e-08,6.616674019e-09,Kazakhstan,"Coffee, Tea and Cocoa",National,Kazakhstan,Higher,National,"Coffee, Tea and Cocoa"
0,0,0,Armenia,"Coffee, Tea and Cocoa",National,Armenia,Higher,National,"Coffee, Tea and Cocoa"
9.53e-07,8.638333898e-10,3.199586370e-10,Belarus,"Coffee, Tea and Cocoa",National,Belarus,Higher,National,"Coffee, Tea and Cocoa"
6.883723914e-09,1.646823903e-08,1.298815833e-08,Latvia,"Coffee, Tea and Cocoa",National,Latvia,Higher,National,"Coffee, Tea and Cocoa"
4.333723326e-09,8.953973814e-09,5.740030896e-09,Montenegro,"Coffee, Tea and Cocoa",National,Montenegro,Higher,National,"Coffee, Tea and Cocoa"
4.638868177e-09,8.972665720e-09,5.776921765e-09,Azerbaijan,"Coffee, Tea and Cocoa",National,Azerbaijan,Higher,National,"Coffee, Tea and Cocoa"
4.034420536e-09,4.974624582e-09,2.731496639e-09,Bulgaria,"Coffee, Tea and Cocoa",National,Bulgaria,Higher,National,"Coffee, Tea and Cocoa"
1.396160752e-08,1.549567982e-08,9.452679429e-09,Bosnia and Herzegovina,"Coffee, Tea and Cocoa",National,Bosnia and Herzegovina,Higher,National,"Coffee, Tea and Cocoa"
4.150197774e-09,3.571598773e-09,2.761275964e-09,Turkey,"Coffee, Tea and Cocoa",National,Turkey,Higher,National,"Coffee, Tea and Cocoa"
7.297731917e-09,3.979134088e-09,2.800357604e-09,Lithuania,"Coffee, Tea and Cocoa",National,Lithuania,Higher,National,"Coffee, Tea and Cocoa"
6.649842677e-09,3.290372428e-09,2.092461509e-09,Romania,"Coffee, Tea and Cocoa",National,Romania,Higher,National,"Coffee, Tea and Cocoa"
5.215914648e-09,3.699230247e-09,1.191120038e-09,Tajikistan,"Coffee, Tea and Cocoa",National,Tajikistan,Higher,National,"Coffee, Tea and Cocoa"
1.879641350e-08,6.286425920e-09,2.368499685e-09,Ukraine,"Coffee, Tea and Cocoa",National,Ukraine,Higher,National,"Coffee, Tea and Cocoa"
5.058672016e-09,7.627671918e-10,4.089798703e-10,Moldova,"Coffee, Tea and Cocoa",National,Moldova,Higher,National,"Coffee, Tea and Cocoa"
5.332158603e-09,3.062522889e-10,1.755847801e-10,Russian Federation,"Coffee, Tea and Cocoa",National,Russian Federation,Higher,National,"Coffee, Tea and Cocoa"
5.539197153e-09,2.846745376e-10,1.205116429e-10,Kyrgyz Republic,"Coffee, Tea and Cocoa",National,Kyrgyz Republic,Higher,National,"Coffee, Tea and Cocoa"
5.902325931e-09,2.644411260e-10,1.269726994e-10,"Macedonia, FYR","Coffee, Tea and Cocoa",National,"Macedonia, FYR",Higher,National,"Coffee, Tea and Cocoa"
9.407047179e-09,2.101021198e-10,1.210237529e-10,Serbia,"Coffee, Tea and Cocoa",National,Serbia,Higher,National,"Coffee, Tea and Cocoa"
1.225509232e-09,2.118389020e-11,1.179099862e-11,Albania,"Coffee, Tea and Cocoa",National,Albania,Higher,National,"Coffee, Tea and Cocoa"
1.104565895e-08,1.172090000e-10,7.495951238e-11,Kazakhstan,"Coffee, Tea and Cocoa",National,Kazakhstan,Higher,National,"Coffee, Tea and Cocoa"
0,0,0,Armenia,"Coffee, Tea and Cocoa",National,Armenia,Higher,National,"Coffee, Tea and Cocoa"
1.109002869e-08,1.005239987e-11,3.723347811e-12,Belarus,"Coffee, Tea and Cocoa",National,Belarus,Higher,National,"Coffee, Tea and Cocoa"
8.730770136,20.887009895,16.4731512,Latvia,"Coffee, Tea and Cocoa",National,Latvia,Higher,National,"Coffee, Tea and Cocoa"
1.855112082,3.832876202,2.457102095,Montenegro,"Coffee, Tea and Cocoa",National,Montenegro,Higher,National,"Coffee, Tea and Cocoa"
1.603629268,3.101797424,1.997047656,Azerbaijan,"Coffee, Tea and Cocoa",National,Azerbaijan,Higher,National,"Coffee, Tea and Cocoa"
24.420468085,30.111551276,16.533830796,Bulgaria,"Coffee, Tea and Cocoa",National,Bulgaria,Higher,National,"Coffee, Tea and Cocoa"
197.681954726,219.402835434,133.840186003,Bosnia and Herzegovina,"Coffee, Tea and Cocoa",National,Bosnia and Herzegovina,Higher,National,"Coffee, Tea and Cocoa"
248.938144753,214.232482576,165.627508152,Turkey,"Coffee, Tea and Cocoa",National,Turkey,Higher,National,"Coffee, Tea and Cocoa"
31.648290933,17.256429080,12.144394065,Lithuania,"Coffee, Tea and Cocoa",National,Lithuania,Higher,National,"Coffee, Tea and Cocoa"
66.395742747,32.852915758,20.892304200,Romania,"Coffee, Tea and Cocoa",National,Romania,Higher,National,"Coffee, Tea and Cocoa"
1.103377323,0.782537109,0.251970158,Tajikistan,"Coffee, Tea and Cocoa",National,Tajikistan,Higher,National,"Coffee, Tea and Cocoa"
609.105293419,203.714144956,76.752179110,Ukraine,"Coffee, Tea and Cocoa",National,Ukraine,Higher,National,"Coffee, Tea and Cocoa"
58.378274763,8.802514289,4.719724696,Moldova,"Coffee, Tea and Cocoa",National,Moldova,Higher,National,"Coffee, Tea and Cocoa"
42633.269555482,2448.639914737,1403.887959546,Russian Federation,"Coffee, Tea and Cocoa",National,Russian Federation,Higher,National,"Coffee, Tea and Cocoa"
3.791453095,0.194853176,0.082487449,Kyrgyz Republic,"Coffee, Tea and Cocoa",National,Kyrgyz Republic,Higher,National,"Coffee, Tea and Cocoa"
362.604373123,16.245715642,7.800459785,"Macedonia, FYR","Coffee, Tea and Cocoa",National,"Macedonia, FYR",Higher,National,"Coffee, Tea and Cocoa"
3184.39656349,71.122048763,40.967969591,Serbia,"Coffee, Tea and Cocoa",National,Serbia,Higher,National,"Coffee, Tea and Cocoa"
63.862525121,1.103913936,0.614440859,Albania,"Coffee, Tea and Cocoa",National,Albania,Higher,National,"Coffee, Tea and Cocoa"
1334.707153212,14.163002082,9.057766301,Kazakhstan,"Coffee, Tea and Cocoa",National,Kazakhstan,Higher,National,"Coffee, Tea and Cocoa"
0,0,0,Armenia,"Coffee, Tea and Cocoa",National,Armenia,Higher,National,"Coffee, Tea and Cocoa"
145852.144231055,132.205616124,48.968156639,Belarus,"Coffee, Tea and Cocoa",National,Belarus,Higher,National,"Coffee, Tea and Cocoa"
7.240227096e-09,4.158421168e-10,2.384163295e-10,Russian Federation,"Coffee, Tea and Cocoa",National,Russian Federation,All,National,"Coffee, Tea and Cocoa"
9.541325057e-09,4.903548698e-10,2.075825658e-10,Kyrgyz Republic,"Coffee, Tea and Cocoa",National,Kyrgyz Republic,All,National,"Coffee, Tea and Cocoa"
1.051663932e-08,4.711755968e-10,2.262372662e-10,"Macedonia, FYR","Coffee, Tea and Cocoa",National,"Macedonia, FYR",All,National,"Coffee, Tea and Cocoa"
1.738631433e-08,3.883154221e-10,2.236787983e-10,Serbia,"Coffee, Tea and Cocoa",National,Serbia,All,National,"Coffee, Tea and Cocoa"
5.612763333e-09,9.702102527e-11,5.400211027e-11,Albania,"Coffee, Tea and Cocoa",National,Albania,All,National,"Coffee, Tea and Cocoa"
1.550598589e-08,1.645389477e-10,1.052287733e-10,Kazakhstan,"Coffee, Tea and Cocoa",National,Kazakhstan,All,National,"Coffee, Tea and Cocoa"
0,0,0,Armenia,"Coffee, Tea and Cocoa",National,Armenia,All,National,"Coffee, Tea and Cocoa"
1.380857817e-08,1.251659065e-11,4.636069098e-12,Belarus,"Coffee, Tea and Cocoa",National,Belarus,All,National,"Coffee, Tea and Cocoa"
53.86091792,128.853870622,101.624373434,Latvia,"Coffee, Tea and Cocoa",National,Latvia,All,National,"Coffee, Tea and Cocoa"
11.270176394,23.285488417,14.927385952,Montenegro,"Coffee, Tea and Cocoa",National,Montenegro,All,National,"Coffee, Tea and Cocoa"
98.281606569,190.099819282,122.393034333,Azerbaijan,"Coffee, Tea and Cocoa",National,Azerbaijan,All,National,"Coffee, Tea and Cocoa"
136.096442054,167.813122138,92.143833483,Bulgaria,"Coffee, Tea and Cocoa",National,Bulgaria,All,National,"Coffee, Tea and Cocoa"
450.365205506,499.850394568,304.918893369,Bosnia and Herzegovina,"Coffee, Tea and Cocoa",National,Bosnia and Herzegovina,All,National,"Coffee, Tea and Cocoa"
2844.474101575,2447.912307724,1892.531005705,Turkey,"Coffee, Tea and Cocoa",National,Turkey,All,National,"Coffee, Tea and Cocoa"
359.580413119,196.063474983,137.981739493,Lithuania,"Coffee, Tea and Cocoa",National,Lithuania,All,National,"Coffee, Tea and Cocoa"
1790.244786394,885.821269863,563.324350659,Romania,"Coffee, Tea and Cocoa",National,Romania,All,National,"Coffee, Tea and Cocoa"
246.908209324,175.112205194,56.384610487,Tajikistan,"Coffee, Tea and Cocoa",National,Tajikistan,All,National,"Coffee, Tea and Cocoa"
11394.561888722,3810.890263787,1435.806689607,Ukraine,"Coffee, Tea and Cocoa",National,Ukraine,All,National,"Coffee, Tea and Cocoa"
591.066509098,89.123418139,47.786119258,Moldova,"Coffee, Tea and Cocoa",National,Moldova,All,National,"Coffee, Tea and Cocoa"
5.63e-07,2.637072746e-10,1.345307446e-10,Cambodia,"Coffee, Tea and Cocoa",National,Cambodia,Middle,National,"Coffee, Tea and Cocoa"
5.78e-07,1.354083135e-10,6.998620860e-11,Lao PDR,"Coffee, Tea and Cocoa",National,Lao PDR,Middle,National,"Coffee, Tea and Cocoa"
8.47e-07,1.549259218e-10,9.317487957e-11,Indonesia,"Coffee, Tea and Cocoa",National,Indonesia,Middle,National,"Coffee, Tea and Cocoa"
8.82e-07,9.969010168e-11,4.738644673e-11,Vietnam,"Coffee, Tea and Cocoa",National,Vietnam,Middle,National,"Coffee, Tea and Cocoa"
4.990500102e-09,8.458474748e-09,4.990500102e-09,Timor Leste,"Coffee, Tea and Cocoa",National,Timor Leste,Middle,National,"Coffee, Tea and Cocoa"
3.235733029e-09,1.842672568e-09,1.687034948e-09,Fiji,"Coffee, Tea and Cocoa",National,Fiji,Middle,National,"Coffee, Tea and Cocoa"
1.078848336e-08,5.504328243e-09,3.967812930e-09,Papua New Guinea,"Coffee, Tea and Cocoa",National,Papua New Guinea,Middle,National,"Coffee, Tea and Cocoa"
5.609050515e-09,1.327585921e-09,8.285155856e-10,China,"Coffee, Tea and Cocoa",National,China,Middle,National,"Coffee, Tea and Cocoa"
6.408849451e-10,3.546090550e-11,2.022612337e-11,Thailand,"Coffee, Tea and Cocoa",National,Thailand,Middle,National,"Coffee, Tea and Cocoa"
5.261285306e-09,1.911413706e-10,1.166332187e-10,Philippines,"Coffee, Tea and Cocoa",National,Philippines,Middle,National,"Coffee, Tea and Cocoa"
3.590205039e-09,4.572927066e-12,2.645567961e-12,Mongolia,"Coffee, Tea and Cocoa",National,Mongolia,Middle,National,"Coffee, Tea and Cocoa"
5.691102322e-09,2.665692865e-12,1.359908051e-12,Cambodia,"Coffee, Tea and Cocoa",National,Cambodia,Middle,National,"Coffee, Tea and Cocoa"
2.724361510e-09,6.382373657e-13,3.298749705e-13,Lao PDR,"Coffee, Tea and Cocoa",National,Lao PDR,Middle,National,"Coffee, Tea and Cocoa"
2.403053417e-09,4.395457683e-13,2.643497198e-13,Indonesia,"Coffee, Tea and Cocoa",National,Indonesia,Middle,National,"Coffee, Tea and Cocoa"
3.897580291e-09,4.405330788e-13,2.094019057e-13,Vietnam,"Coffee, Tea and Cocoa",National,Vietnam,Middle,National,"Coffee, Tea and Cocoa"
0.243185165,0.412178246,0.243185165,Timor Leste,"Coffee, Tea and Cocoa",National,Timor Leste,Middle,National,"Coffee, Tea and Cocoa"
2.73060015,1.555011475,1.423670568,Fiji,"Coffee, Tea and Cocoa",National,Fiji,Middle,National,"Coffee, Tea and Cocoa"
235.080321342,119.938939460,86.458374896,Papua New Guinea,"Coffee, Tea and Cocoa",National,Papua New Guinea,Middle,National,"Coffee, Tea and Cocoa"
30260.173749630,7162.171301688,4469.745014716,China,"Coffee, Tea and Cocoa",National,China,Middle,National,"Coffee, Tea and Cocoa"
1050.701070643,58.136505873,33.159788886,Thailand,"Coffee, Tea and Cocoa",National,Thailand,Middle,National,"Coffee, Tea and Cocoa"
2833.827336108,102.952341391,62.820847792,Philippines,"Coffee, Tea and Cocoa",National,Philippines,Middle,National,"Coffee, Tea and Cocoa"
1755.461256636,2.235971541,1.293572931,Mongolia,"Coffee, Tea and Cocoa",National,Mongolia,Middle,National,"Coffee, Tea and Cocoa"
41986.014845173,19.666105767,10.032699536,Cambodia,"Coffee, Tea and Cocoa",National,Cambodia,Middle,National,"Coffee, Tea and Cocoa"
11141.931968663,2.610225288,1.349103071,Lao PDR,"Coffee, Tea and Cocoa",National,Lao PDR,Middle,National,"Coffee, Tea and Cocoa"
234775.868962007,42.943173458,25.826698130,Indonesia,"Coffee, Tea and Cocoa",National,Indonesia,Middle,National,"Coffee, Tea and Cocoa"
305233.450773209,34.499720797,16.399012082,Vietnam,"Coffee, Tea and Cocoa",National,Vietnam,Middle,National,"Coffee, Tea and Cocoa"
7.18e-07,1.717703349e-06,1.354716981e-06,Latvia,"Coffee, Tea and Cocoa",National,Latvia,Middle,National,"Coffee, Tea and Cocoa"
9.21e-07,1.902892562e-06,1.219867550e-06,Montenegro,"Coffee, Tea and Cocoa",National,Montenegro,Middle,National,"Coffee, Tea and Cocoa"
9.69e-07,1.874274662e-06,1.206724782e-06,Azerbaijan,"Coffee, Tea and Cocoa",National,Azerbaijan,Middle,National,"Coffee, Tea and Cocoa"
8.74e-07,1.077681874e-06,5.917400135e-07,Bulgaria,"Coffee, Tea and Cocoa",National,Bulgaria,Middle,National,"Coffee, Tea and Cocoa"
9.19e-07,1.019977802e-06,6.222071767e-07,Bosnia and Herzegovina,"Coffee, Tea and Cocoa",National,Bosnia and Herzegovina,Middle,National,"Coffee, Tea and Cocoa"
